"Address",
"10005  E  SPEEDWAY  BL    TUCSON,  AZ  85748",
"10005  N  BIGHORN BUTTE  DR    TUCSON,  AZ  85737",
"10005  S  DAILEY RANCH  RD    TUCSON,  AZ  85747",
"10005  W  BUSTERVILLE  LN    TUCSON,  AZ  85743",
"10005  W  PICTURE ROCKS  RD    TUCSON,  AZ  85743",
"10006  E  BROADWAY  BL    TUCSON,  AZ  85748",
"10006  E  EMILY  DR    TUCSON,  AZ  85730",
"10006  N  BIGHORN BUTTE  DR    TUCSON,  AZ  85737",
"10006  N  BLUE CROSSING  WY    TUCSON,  AZ  85743",
"10006  S  PLACITA DEL MOVTIVO     VAIL,  AZ  85641",
"10006  W  CONSTELLATION  WY    TUCSON,  AZ  85735",
"10007  E  ARIZONA SUNSET  DR    TUCSON,  AZ  85747",
"10007  E  VIA DEL FANDANGO     TUCSON,  AZ  85747",
"10007  S  PLACITA DEL MOVTIVO     VAIL,  AZ  85641",
"10008  E  ARIZONA SUNSET  DR    TUCSON,  AZ  85747",
"10008  E  ERIC ALAN  PL    TUCSON,  AZ  85748",
"10008  E  KAREN  PL    TUCSON,  AZ  85748",
"10008  E  LORIAN  ST    TUCSON,  AZ  85748",
"10008  E  MOONSTRUCK  WY    TUCSON,  AZ  85747",
"10008  E  PASEO SAN ARDO     TUCSON,  AZ  85747",
"10008  E  VIA DEL FANDANGO     TUCSON,  AZ  85747",
"10008  E  VIA DEL PASTO     TUCSON,  AZ  85747",
"10008  N  ROXBURY  DR    TUCSON,  AZ  85737",
"10008  S  OAK CANYON  LN    TUCSON,  AZ  85756",
"10008  S  PLACITA NOTABLE     VAIL,  AZ  85641",
"10009  E  ERIC ALAN  PL    TUCSON,  AZ  85748",
"10009  E  LORIAN  ST    TUCSON,  AZ  85748",
"10009  E  MOONSTRUCK  WY    TUCSON,  AZ  85747",
"10009  E  ROCKY VISTA  DR    TUCSON,  AZ  85748",
"10009  E  VIA DEL PASTO     TUCSON,  AZ  85747",
"10009  S  PLACITA NOTABLE     VAIL,  AZ  85641",
"10009  W  CALLE ANASAZI     TUCSON,  AZ  85735",
"10009  W  MERCURY  DR    TUCSON,  AZ  85735",
"1001  E  10TH  ST    TUCSON,  AZ  85719",
"1001  E  17TH  ST    TUCSON,  AZ  85719",
"1001  E  19TH  ST    TUCSON,  AZ  85719",
"1001  E  22ND  ST    TUCSON,  AZ  85713",
"1001  E  24TH  ST    TUCSON,  AZ  85713",
"1001  E  26TH  ST    TUCSON,  AZ  85713",
"1001  E  32ND  ST    TUCSON,  AZ  85713",
"1001  E  8TH  ST    TUCSON,  AZ  85719",
"1001  E  9TH  ST    TUCSON,  AZ  85719",
"1001  E  ADELAIDE  DR    TUCSON,  AZ  85719",
"1001  E  ASHBURN MOUNTAIN  DR    SAHUARITA,  AZ  85629",
"1001  E  BENSON  HY    TUCSON,  AZ  85713",
"1001  E  BLACKLIDGE  DR    TUCSON,  AZ  85719",
"1001  E  BROADWAY  BL    TUCSON,  AZ  85719",
"1001  E  CALLE ELENA     TUCSON,  AZ  85718",
"1001  E  CALLE MARIPOSA     TUCSON,  AZ  85718",
"1001  E  CAMINO DE LOS PADRES     TUCSON,  AZ  85718",
"1001  E  CHULA VISTA  RD    TUCSON,  AZ  85718",
"1001  E  DESERT GLEN  DR    TUCSON,  AZ  85755",
"1001  E  EDISON  ST    TUCSON,  AZ  85719",
"1001  E  ELM  ST    TUCSON,  AZ  85719",
"1001  E  FENLEY  DR    TUCSON,  AZ  85756",
"1001  E  FORT LOWELL  RD    TUCSON,  AZ  85719",
"1001  E  HARSHAW LAND  LN    SAHUARITA,  AZ  85629",
"1001  E  INA  RD    TUCSON,  AZ  85718",
"1001  E  KENTUCKY  ST    TUCSON,  AZ  85714",
"1001  E  KING  ST    TUCSON,  AZ  85719",
"1001  E  LINDA VISTA  BL    TUCSON,  AZ  85704",
"1001  E  LINDEN  ST    TUCSON,  AZ  85719",
"1001  E  MAGEE  RD    TUCSON,  AZ  85718",
"1001  E  MITCHELL  ST    TUCSON,  AZ  85719",
"1001  E  MOSSMAN  RD    TUCSON,  AZ  85706",
"1001  E  MOUNT SHIBELL  DR    SAHUARITA,  AZ  85629",
"1001  E  NAVAJO  RD    TUCSON,  AZ  85719",
"1001  E  OKLAHOMA  ST    TUCSON,  AZ  85714",
"1001  E  ORANGE GROVE  RD    TUCSON,  AZ  85718",
"1001  E  PALMDALE  ST    TUCSON,  AZ  85714",
"1001  E  PARK ESTATES  CI    TUCSON,  AZ  85706",
"1001  E  PRINCE  RD    TUCSON,  AZ  85719",
"1001  E  PROVIDENCE CANYON  DR    SAHUARITA,  AZ  85629",
"1001  E  RISING SUN  DR    TUCSON,  AZ  85755",
"1001  E  RUDASILL  RD    TUCSON,  AZ  85718",
"1001  E  SARDINA CANYON  LN    SAHUARITA,  AZ  85629",
"1001  E  SENECA  ST    TUCSON,  AZ  85719",
"1001  E  SILVERLAKE  RD    TUCSON,  AZ  85713",
"1001  E  SILVERTREE  DR    TUCSON,  AZ  85718",
"1001  E  SIMMONS  ST    TUCSON,  AZ  85719",
"1001  E  SPEEDWAY  BL    TUCSON,  AZ  85719",
"1001  E  TENNESSEE  ST    TUCSON,  AZ  85714",
"1001  E  VIA LUCITAS     TUCSON,  AZ  85718",
"1001  E  VIA SOLEDAD     TUCSON,  AZ  85718",
"1001  E  WEST CIRCLE  DR    TUCSON,  AZ  85719",
"1001  E  WINDSOR  ST    TUCSON,  AZ  85719",
"1001  N  10TH  AV    TUCSON,  AZ  85705",
"1001  N  1ST  AV    TUCSON,  AZ  85719",
"1001  N  6TH  AV    TUCSON,  AZ  85705",
"1001  N  9TH  AV    TUCSON,  AZ  85705",
"1001  N  ALVERNON  WY    TUCSON,  AZ  85716",
"1001  N  ANITA  AV    TUCSON,  AZ  85705",
"1001  N  AVENIDA CABEZA DE ELEFANTE     GREEN VALLEY,  AZ  85614",
"1001  N  BEDFORD  DR    TUCSON,  AZ  85710",
"1001  N  CALLE RINCONADO     VAIL,  AZ  85641",
"1001  N  CAMERON  AV    AJO,  AZ  85321",
"1001  N  CAMINO CORDON     TUCSON,  AZ  85748",
"1001  N  CAMINO LAS SOLANAS     TUCSON,  AZ  85710",
"1001  N  CAMPBELL  AV    TUCSON,  AZ  85719",
"1001  N  CARIBE  AV    TUCSON,  AZ  85710",
"1001  N  CATALINA  AV    TUCSON,  AZ  85711",
"1001  N  COLUMBIA  AV    TUCSON,  AZ  85745",
"1001  N  CONNOLLY  AV    AJO,  AZ  85321",
"1001  N  CONSTITUTION  DR    TUCSON,  AZ  85748",
"1001  N  DALIANN  PL    TUCSON,  AZ  85748",
"1001  N  DARLENE  DR    VAIL,  AZ  85641",
"1001  N  DEEP ROCK  DR    VAIL,  AZ  85641",
"1001  N  DESERT DEER  PS    GREEN VALLEY,  AZ  85614",
"1001  N  DODGE  BL    TUCSON,  AZ  85716",
"1001  N  FIREWOOD  PL    TUCSON,  AZ  85748",
"1001  N  INDEPENDENCE  AV    TUCSON,  AZ  85748",
"1001  N  JERRIE  AV    TUCSON,  AZ  85711",
"1001  N  KILBRIGHT  AV    AJO,  AZ  85321",
"1001  N  LANEY  DR    VAIL,  AZ  85641",
"1001  N  LYONS  AV    AJO,  AZ  85321",
"1001  N  PALO VERDE  BL    TUCSON,  AZ  85716",
"1001  N  PANTANO  RD    TUCSON,  AZ  85710",
"1001  N  PARK  AV    TUCSON,  AZ  85719",
"1001  N  PASEO IRIS     GREEN VALLEY,  AZ  85614",
"1001  N  RICHEY  BL    TUCSON,  AZ  85716",
"1001  N  SOLAR  DR    VAIL,  AZ  85641",
"1001  N  SWAN  RD    TUCSON,  AZ  85711",
"1001  N  THOMPSON  AV    AJO,  AZ  85321",
"1001  N  VAIL VIEW  RD    VAIL,  AZ  85641",
"1001  N  VAN ALSTINE  ST    TUCSON,  AZ  85705",
"1001  N  VIA PRIMAVERA     TUCSON,  AZ  85710",
"1001  N  VIA VERANO     TUCSON,  AZ  85710",
"1001  N  WILMOT  RD    TUCSON,  AZ  85711",
"1001  S  5TH  AV    TUCSON,  AZ  85701",
"1001  S  6TH  AV    TUCSON,  AZ  85701",
"1001  S  ABREGO  DR    GREEN VALLEY,  AZ  85614",
"1001  S  BAYLOR  DR    TUCSON,  AZ  85710",
"1001  S  CALLE DE LAS CASITAS     GREEN VALLEY,  AZ  85614",
"1001  S  CAMINO DE LAS PALMAS     TUCSON,  AZ  85748",
"1001  S  CARNEGIE  DR    TUCSON,  AZ  85710",
"1001  S  CIRCULO SANTA CARMEN     TUCSON,  AZ  85713",
"1001  S  COLGATE  DR    TUCSON,  AZ  85710",
"1001  S  DESERT SENNA  LP    TUCSON,  AZ  85748",
"1001  S  DUKE  DR    TUCSON,  AZ  85710",
"1001  S  DUQUESNE  DR    TUCSON,  AZ  85710",
"1001  S  ELI  DR    TUCSON,  AZ  85710",
"1001  S  EUCLID  AV    TUCSON,  AZ  85719",
"1001  S  FORDHAM  DR    TUCSON,  AZ  85710",
"1001  S  HERBERT  AV    TUCSON,  AZ  85701",
"1001  S  HORIZONTE  PL    GREEN VALLEY,  AZ  85614",
"1001  S  LA CANADA  DR    GREEN VALLEY,  AZ  85614",
"1001  S  LA PERA     GREEN VALLEY,  AZ  85614",
"1001  S  MELPOMENE  WY    TUCSON,  AZ  85748",
"1001  S  PARK  AV    TUCSON,  AZ  85719",
"1001  S  SANTA RITA  AV    TUCSON,  AZ  85719",
"1001  S  SARNOFF  DR    TUCSON,  AZ  85710",
"1001  S  TYNDALL  AV    TUCSON,  AZ  85719",
"1001  S  VAN BUREN  AV    TUCSON,  AZ  85711",
"1001  S  VERDUGO  AV    TUCSON,  AZ  85745",
"1001  W  BELLTOWER  DR    GREEN VALLEY,  AZ  85614",
"1001  W  CALLE ARIZONA     TUCSON,  AZ  85705",
"1001  W  CALLE CONCORDIA     TUCSON,  AZ  85704",
"1001  W  CALLE DE EMILIA     GREEN VALLEY,  AZ  85614",
"1001  W  CALLE DE PITAHAYA     GREEN VALLEY,  AZ  85622",
"1001  W  CALLE DEL REGALO     GREEN VALLEY,  AZ  85614",
"1001  W  CALLE DEL VENCEJO     GREEN VALLEY,  AZ  85622",
"1001  W  CALLE SAN JOSE     SAHUARITA,  AZ  85629",
"1001  W  CALLE SAN SALVADOR     SAHUARITA,  AZ  85629",
"1001  W  CALLE SANTIAGO     SAHUARITA,  AZ  85629",
"1001  W  CAMINO ASTURIAS     GREEN VALLEY,  AZ  85622",
"1001  W  CAMINO DELICIAS     GREEN VALLEY,  AZ  85614",
"1001  W  CAMINO DESIERTO     TUCSON,  AZ  85704",
"1001  W  CAMINO SAGASTA     GREEN VALLEY,  AZ  85622",
"1001  W  CHULA VISTA  RD    TUCSON,  AZ  85704",
"1001  W  COLUMBIA  ST    TUCSON,  AZ  85714",
"1001  W  COOL  DR    TUCSON,  AZ  85704",
"1001  W  CORTE SOMBRA DE TERRAZA     GREEN VALLEY,  AZ  85622",
"1001  W  DELAWARE  ST    TUCSON,  AZ  85745",
"1001  W  DESERT CANYON  PL    GREEN VALLEY,  AZ  85622",
"1001  W  DESERT HILLS  DR    GREEN VALLEY,  AZ  85622",
"1001  W  EAGLE LOOK  LN    TUCSON,  AZ  85737",
"1001  W  EBNER  PL    TUCSON,  AZ  85714",
"1001  W  EDGEWATER  DR    TUCSON,  AZ  85704",
"1001  W  FARR  ST    TUCSON,  AZ  85705",
"1001  W  FRESNO  ST    TUCSON,  AZ  85745",
"1001  W  GARNETTE  ST    TUCSON,  AZ  85705",
"1001  W  GOLDEN BARREL  CT    TUCSON,  AZ  85755",
"1001  W  GRANT  RD    TUCSON,  AZ  85705",
"1001  W  HADLEY  ST    TUCSON,  AZ  85705",
"1001  W  HAWK  WY    AMADO,  AZ  85645",
"1001  W  INA  RD    TUCSON,  AZ  85704",
"1001  W  IRVINGTON  RD    TUCSON,  AZ  85714",
"1001  W  KELTING  DR    TUCSON,  AZ  85704",
"1001  W  KING  ST    TUCSON,  AZ  85705",
"1001  W  LAS LOMITAS  RD    TUCSON,  AZ  85704",
"1001  W  LAS PALMAS  DR    TUCSON,  AZ  85704",
"1001  W  LINCOLN  ST    TUCSON,  AZ  85714",
"1001  W  LIND  ST    TUCSON,  AZ  85705",
"1001  W  MAGEE  RD    TUCSON,  AZ  85704",
"1001  W  MISSION TWIN BUTTES  RD    GREEN VALLEY,  AZ  85622",
"1001  W  NAVAJO  ST    TUCSON,  AZ  85705",
"1001  W  NELSON  RD    AJO,  AZ  85321",
"1001  W  PINE  ST    TUCSON,  AZ  85704",
"1001  W  PLACITA DE LA COTONIA     GREEN VALLEY,  AZ  85622",
"1001  W  PROSPECT  LN    TUCSON,  AZ  85705",
"1001  W  RIO GUAYMAS     GREEN VALLEY,  AZ  85614",
"1001  W  RIO HONDO     GREEN VALLEY,  AZ  85614",
"1001  W  RIO MAGDALENA     GREEN VALLEY,  AZ  85614",
"1001  W  RIO TERAS     GREEN VALLEY,  AZ  85614",
"1001  W  RIVER  RD    TUCSON,  AZ  85704",
"1001  W  ROGER  RD    TUCSON,  AZ  85705",
"1001  W  SAFARI  DR    TUCSON,  AZ  85704",
"1001  W  SAHARA PALMS  DR    TUCSON,  AZ  85704",
"1001  W  SAINT MARYS  RD    TUCSON,  AZ  85745",
"1001  W  SAN MARTIN  DR    TUCSON,  AZ  85704",
"1001  W  SCHAFER  DR    TUCSON,  AZ  85705",
"1001  W  SILVERLAKE  RD    TUCSON,  AZ  85713",
"1001  W  SIMMONS  ST    TUCSON,  AZ  85705",
"1001  W  SOLANA  AV    AJO,  AZ  85321",
"1001  W  SONORA  ST    TUCSON,  AZ  85745",
"1001  W  SPRUCE  ST    TUCSON,  AZ  85745",
"1001  W  THURBER  ST    TUCSON,  AZ  85705",
"1001  W  VIA SAN MIGUEL     GREEN VALLEY,  AZ  85614",
"1001  W  VUELTA DEL YABA     GREEN VALLEY,  AZ  85622",
"1001  W  WANDA VISTA  RD    TUCSON,  AZ  85704",
"1001  W  WEYMOUTH  ST    TUCSON,  AZ  85705",
"1001  W  WHEATRIDGE  DR    TUCSON,  AZ  85704",
"1001  E  32ND  ST   1  TUCSON,  AZ  85713",
"1001  E  ALTA VISTA  ST   1  TUCSON,  AZ  85719",
"1001  E  MOSSMAN  RD   1  TUCSON,  AZ  85706",
"1001  E  SENECA  ST   1  TUCSON,  AZ  85719",
"1001  N  3RD  AV   1  TUCSON,  AZ  85705",
"1001  N  6TH  AV   1  TUCSON,  AZ  85705",
"1001  N  RICHEY  BL   1  TUCSON,  AZ  85716",
"1001  W  HADLEY  ST   1  TUCSON,  AZ  85705",
"1001  E  MOSSMAN  RD   10  TUCSON,  AZ  85706",
"1001  S  EUCLID  AV   101  TUCSON,  AZ  85719",
"1001  E  MOSSMAN  RD   11  TUCSON,  AZ  85706",
"1001  S  EUCLID  AV   113  TUCSON,  AZ  85719",
"1001  S  EUCLID  AV   125  TUCSON,  AZ  85719",
"1001  S  EUCLID  AV   137  TUCSON,  AZ  85719",
"1001  E  MOSSMAN  RD   15  TUCSON,  AZ  85706",
"1001  E  MOSSMAN  RD   17  TUCSON,  AZ  85706",
"1001  E  32ND  ST   2  TUCSON,  AZ  85713",
"1001  E  ALTA VISTA  ST   2  TUCSON,  AZ  85719",
"1001  E  MOSSMAN  RD   2  TUCSON,  AZ  85706",
"1001  E  SENECA  ST   2  TUCSON,  AZ  85719",
"1001  N  3RD  AV   2  TUCSON,  AZ  85705",
"1001  N  6TH  AV   2  TUCSON,  AZ  85705",
"1001  N  RICHEY  BL   2  TUCSON,  AZ  85716",
"1001  W  HADLEY  ST   2  TUCSON,  AZ  85705",
"1001  N  RICHEY  BL   3  TUCSON,  AZ  85716",
"1001  E  MOSSMAN  RD   4  TUCSON,  AZ  85706",
"1001  N  RICHEY  BL   4  TUCSON,  AZ  85716",
"1001  E  MOSSMAN  RD   7  TUCSON,  AZ  85706",
"1001  N  RICHEY  BL   ADMIN  TUCSON,  AZ  85716",
"1001  N  RICHEY  BL   BATH HOUSE  TUCSON,  AZ  85716",
"1001  N  RICHEY  BL   CHAPEL  TUCSON,  AZ  85716",
"1001  N  RICHEY  BL   PURPOSE/OF  TUCSON,  AZ  85716",
"10010  E  AMANDA PAIGE  DR    TUCSON,  AZ  85748",
"10010  E  COUNTRY SHADOWS  DR    TUCSON,  AZ  85730",
"10010  E  DEPOT  DR    TUCSON,  AZ  85747",
"10010  E  DOMENIC  LN    TUCSON,  AZ  85730",
"10010  E  FALCON POINT  DR    TUCSON,  AZ  85730",
"10010  E  GRAY HAWK  DR    TUCSON,  AZ  85730",
"10010  E  IRVINGTON  RD    TUCSON,  AZ  85730",
"10010  E  LUCILLE  DR    TUCSON,  AZ  85730",
"10010  E  MARY  DR    TUCSON,  AZ  85730",
"10010  E  PASEO DE LA MASADA     TUCSON,  AZ  85747",
"10010  E  PASEO SAN BRUNO     TUCSON,  AZ  85747",
"10010  E  PRAIRIE DOG  LN    TUCSON,  AZ  85749",
"10010  E  ROCKY VISTA  DR    TUCSON,  AZ  85748",
"10010  E  WATSON  DR    TUCSON,  AZ  85730",
"10010  N  ANWAY  RD    MARANA,  AZ  85653",
"10010  N  COLONY  DR    TUCSON,  AZ  85737",
"10010  N  EL UNO MINOR     TUCSON,  AZ  85743",
"10010  N  RIDGE SHADOW  PL    TUCSON,  AZ  85704",
"10010  N  SAGUARO BLOOM  WY    MARANA,  AZ  85653",
"10010  N  SOONER  LN    MARANA,  AZ  85653",
"10010  S  GIANT OCOTILLO  WY    TUCSON,  AZ  85756",
"10010  S  JEMIC  CT    VAIL,  AZ  85641",
"10010  S  PLACITA PANELA     VAIL,  AZ  85641",
"10010  S  VANESSA  LN    TUCSON,  AZ  85756",
"10010  S  NOGALES  HY   1  TUCSON,  AZ  85756",
"10010  S  NOGALES  HY   10  TUCSON,  AZ  85756",
"10010  S  NOGALES  HY   11  TUCSON,  AZ  85756",
"10010  S  NOGALES  HY   12  TUCSON,  AZ  85756",
"10010  S  NOGALES  HY   13  TUCSON,  AZ  85756",
"10010  S  NOGALES  HY   14  TUCSON,  AZ  85756",
"10010  S  NOGALES  HY   15  TUCSON,  AZ  85756",
"10010  S  NOGALES  HY   16  TUCSON,  AZ  85756",
"10010  S  NOGALES  HY   17  TUCSON,  AZ  85756",
"10010  S  NOGALES  HY   18  TUCSON,  AZ  85756",
"10010  S  NOGALES  HY   19  TUCSON,  AZ  85756",
"10010  S  NOGALES  HY   2  TUCSON,  AZ  85756",
"10010  S  NOGALES  HY   20  TUCSON,  AZ  85756",
"10010  S  NOGALES  HY   3  TUCSON,  AZ  85756",
"10010  S  NOGALES  HY   4  TUCSON,  AZ  85756",
"10010  S  NOGALES  HY   5  TUCSON,  AZ  85756",
"10010  S  NOGALES  HY   6  TUCSON,  AZ  85756",
"10010  S  NOGALES  HY   7  TUCSON,  AZ  85756",
"10010  S  NOGALES  HY   8  TUCSON,  AZ  85756",
"10010  S  NOGALES  HY   9  TUCSON,  AZ  85756",
"10011  E  DEPOT  DR    TUCSON,  AZ  85747",
"10011  E  FALCON POINT  DR    TUCSON,  AZ  85730",
"10011  E  PASEO DE LA MASADA     TUCSON,  AZ  85747",
"10011  E  PASEO SAN ARDO     TUCSON,  AZ  85747",
"10011  E  PASEO SAN BERNARDO     TUCSON,  AZ  85747",
"10011  E  QUEENSGATE  WY    TUCSON,  AZ  85748",
"10011  E  SUSAN RAE  PL    TUCSON,  AZ  85748",
"10011  E  WATSON  DR    TUCSON,  AZ  85730",
"10011  N  ALDER SPRING  DR    TUCSON,  AZ  85737",
"10011  N  EL UNO MINOR     TUCSON,  AZ  85743",
"10011  N  FULBROOK  WY    MARANA,  AZ  85653",
"10011  N  MCGINNIS  RD    MARANA,  AZ  85653",
"10011  N  ORANGE RANCH  RD    TUCSON,  AZ  85742",
"10011  S  JEMIC  CT    VAIL,  AZ  85641",
"10011  S  PLACITA PANELA     VAIL,  AZ  85641",
"10011  W  PICTURE ROCKS  RD    TUCSON,  AZ  85743",
"10011  N  MCGINNIS  RD   1  MARANA,  AZ  85653",
"10011  W  PICTURE ROCKS  RD   1  TUCSON,  AZ  85743",
"10011  N  MCGINNIS  RD   2  MARANA,  AZ  85653",
"10011  W  PICTURE ROCKS  RD   2  TUCSON,  AZ  85743",
"10011  W  PICTURE ROCKS  RD   3  TUCSON,  AZ  85743",
"10012  E  KLEINDALE  RD    TUCSON,  AZ  85749",
"10012  E  PASEO SAN BERNARDO     TUCSON,  AZ  85747",
"10012  E  SUSAN RAE  PL    TUCSON,  AZ  85748",
"10012  E  WARM SUNNY  PL    TUCSON,  AZ  85747",
"10012  N  BLUE CROSSING  WY    TUCSON,  AZ  85743",
"10012  S  PLACITA DE LA BONDAD     VAIL,  AZ  85641",
"10012  W  URANUS  DR    TUCSON,  AZ  85735",
"10013  E  DOMENIC  LN    TUCSON,  AZ  85730",
"10013  E  ROCKY WASH  DR    TUCSON,  AZ  85748",
"10013  E  STELLA  RD    TUCSON,  AZ  85730",
"10013  E  WARM SUNNY  PL    TUCSON,  AZ  85747",
"10013  N  AVRA VISTA  DR    MARANA,  AZ  85653",
"10013  N  BIGHORN BUTTE  DR    TUCSON,  AZ  85737",
"10013  S  PLACITA DE LA BONDAD     VAIL,  AZ  85641",
"10014  E  EMBERWOOD  DR    TUCSON,  AZ  85730",
"10014  E  EUGENIA  DR    TUCSON,  AZ  85730",
"10014  E  HAWTHORNE  ST    TUCSON,  AZ  85748",
"10014  E  LURLENE  DR    TUCSON,  AZ  85730",
"10014  E  NICARAGUA  LN    TUCSON,  AZ  85730",
"10014  E  STELLA  RD    TUCSON,  AZ  85730",
"10014  N  AVRA VISTA  DR    MARANA,  AZ  85653",
"10014  N  BIGHORN BUTTE  DR    TUCSON,  AZ  85737",
"10014  N  ROXBURY  DR    TUCSON,  AZ  85737",
"10014  S  PLACITA DEL MOVTIVO     VAIL,  AZ  85641",
"10014  S  PLACITA MALEZA     VAIL,  AZ  85641",
"10015  E  ARIZONA SUNSET  DR    TUCSON,  AZ  85747",
"10015  E  COUNTRY SHADOWS  DR    TUCSON,  AZ  85730",
"10015  E  EMBERWOOD  DR    TUCSON,  AZ  85730",
"10015  E  EUGENIA  DR    TUCSON,  AZ  85730",
"10015  E  FORT LOWELL  RD    TUCSON,  AZ  85749",
"10015  E  GRAY HAWK  DR    TUCSON,  AZ  85730",
"10015  E  HAWTHORNE  ST    TUCSON,  AZ  85748",
"10015  E  KAREN  PL    TUCSON,  AZ  85748",
"10015  E  LEILA  DR    TUCSON,  AZ  85730",
"10015  E  LORIAN  ST    TUCSON,  AZ  85748",
"10015  E  LUCILLE  DR    TUCSON,  AZ  85730",
"10015  E  MARY  DR    TUCSON,  AZ  85730",
"10015  E  NICARAGUA  LN    TUCSON,  AZ  85730",
"10015  E  PASEO SAN BRUNO     TUCSON,  AZ  85747",
"10015  E  ROCKY VISTA  DR    TUCSON,  AZ  85748",
"10015  E  SUSAN RAE  PL    TUCSON,  AZ  85748",
"10015  E  TRAILBLAZER  WY    VAIL,  AZ  85641",
"10015  E  VIA DEL FANDANGO     TUCSON,  AZ  85747",
"10015  N  LAURELWOOD  DR    TUCSON,  AZ  85737",
"10015  S  HIGH DESERT  DR    TUCSON,  AZ  85747",
"10015  S  OAK CANYON  LN    TUCSON,  AZ  85756",
"10015  S  PLACITA DEL MOVTIVO     VAIL,  AZ  85641",
"10015  S  PLACITA MALEZA     VAIL,  AZ  85641",
"10016  E  AMANDA PAIGE  DR    TUCSON,  AZ  85748",
"10016  E  ARIZONA SUNSET  DR    TUCSON,  AZ  85747",
"10016  E  COUNTRY SHADOWS  DR    TUCSON,  AZ  85730",
"10016  E  ERIC ALAN  PL    TUCSON,  AZ  85748",
"10016  E  LEILA  DR    TUCSON,  AZ  85730",
"10016  E  PASEO SAN ARDO     TUCSON,  AZ  85747",
"10016  E  SUSAN RAE  PL    TUCSON,  AZ  85748",
"10016  E  VIA DEL FANDANGO     TUCSON,  AZ  85747",
"10016  E  VIA DEL PASTO     TUCSON,  AZ  85747",
"10016  S  PLACITA NOTABLE     VAIL,  AZ  85641",
"10016  S  PLACITA UNICA     VAIL,  AZ  85641",
"10017  E  ADRIANNE  PL    TUCSON,  AZ  85730",
"10017  E  ERIC ALAN  PL    TUCSON,  AZ  85748",
"10017  E  VIA DEL PASTO     TUCSON,  AZ  85747",
"10017  S  PLACITA NOTABLE     VAIL,  AZ  85641",
"10017  S  PLACITA UNICA     VAIL,  AZ  85641",
"10018  E  ADRIANNE  PL    TUCSON,  AZ  85730",
"10018  E  DEPOT  DR    TUCSON,  AZ  85747",
"10018  E  MOONSTRUCK  WY    TUCSON,  AZ  85747",
"10018  E  PASEO DE LA MASADA     TUCSON,  AZ  85747",
"10018  E  ROCKY VISTA  DR    TUCSON,  AZ  85748",
"10018  N  BLUE CROSSING  WY    TUCSON,  AZ  85743",
"10018  N  SAGUARO BLOOM  WY    MARANA,  AZ  85653",
"10018  S  JEMIC  CT    VAIL,  AZ  85641",
"10018  W  CALLE ANASAZI     TUCSON,  AZ  85735",
"10018  W  MERCURY  DR    TUCSON,  AZ  85735",
"10019  E  AMANDA PAIGE  DR    TUCSON,  AZ  85748",
"10019  E  EMILY  DR    TUCSON,  AZ  85730",
"10019  E  MOONSTRUCK  WY    TUCSON,  AZ  85747",
"10019  E  PASEO SAN ARDO     TUCSON,  AZ  85747",
"10019  E  SUSAN RAE  PL    TUCSON,  AZ  85748",
"10019  N  FULBROOK  WY    MARANA,  AZ  85653",
"10019  N  ROXBURY  DR    TUCSON,  AZ  85737",
"10019  S  JEMIC  CT    VAIL,  AZ  85641",
"1002  E  24TH  ST    TUCSON,  AZ  85713",
"1002  E  28TH  ST    TUCSON,  AZ  85713",
"1002  E  30TH  ST    TUCSON,  AZ  85713",
"1002  E  31ST  ST    TUCSON,  AZ  85713",
"1002  E  36TH  ST    TUCSON,  AZ  85713",
"1002  E  6TH  ST    TUCSON,  AZ  85719",
"1002  E  7TH  ST    TUCSON,  AZ  85719",
"1002  E  ASHBURN MOUNTAIN  DR    SAHUARITA,  AZ  85629",
"1002  E  BLACKLIDGE  DR    TUCSON,  AZ  85719",
"1002  E  CAVE CANYON  PL    GREEN VALLEY,  AZ  85614",
"1002  E  CHULA VISTA  RD    TUCSON,  AZ  85718",
"1002  E  ELM  ST    TUCSON,  AZ  85719",
"1002  E  GIFFORD  DR    TUCSON,  AZ  85719",
"1002  E  GLENN  ST    TUCSON,  AZ  85719",
"1002  E  IRWIN  PL    TUCSON,  AZ  85719",
"1002  E  KENTUCKY  ST    TUCSON,  AZ  85714",
"1002  E  LESTER  ST    TUCSON,  AZ  85719",
"1002  E  MILES  ST    TUCSON,  AZ  85719",
"1002  E  MITCHELL  ST    TUCSON,  AZ  85719",
"1002  E  MOWRY WASH  LN    SAHUARITA,  AZ  85629",
"1002  E  OKLAHOMA  ST    TUCSON,  AZ  85714",
"1002  E  PRINCE  RD    TUCSON,  AZ  85719",
"1002  E  SARDINA CANYON  LN    SAHUARITA,  AZ  85629",
"1002  E  SIMMONS  ST    TUCSON,  AZ  85719",
"1002  E  SPEEDWAY  BL    TUCSON,  AZ  85719",
"1002  E  TENNESSEE  ST    TUCSON,  AZ  85714",
"1002  E  WINDSOR  ST    TUCSON,  AZ  85719",
"1002  N  10TH  AV    TUCSON,  AZ  85705",
"1002  N  11TH  AV    TUCSON,  AZ  85705",
"1002  N  4TH  AV    TUCSON,  AZ  85705",
"1002  N  5TH  AV    TUCSON,  AZ  85705",
"1002  N  CAMINO LAS SOLANAS     TUCSON,  AZ  85710",
"1002  N  CARIBE  AV    TUCSON,  AZ  85710",
"1002  N  COLUMBUS  BL    TUCSON,  AZ  85711",
